********************************
Villa availability
********************************
1: Scrape webpages and store data
2: Load data and visualize it
********************************
Your choice: 2
--- Show NMB data ---
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- ‖ -------- + -------- + -------- + -------- + -------- + -------- + -------- +
| Villa                          | Jan 2025 | Feb 2025 | Mar 2025 | Apr 2025 | May 2025 | Jun 2025 | Jul 2025 | Aug 2025 | Sep 2025 | Oct 2025 | Nov 2025 | Dec 2025 | Jan 2026 | Feb 2026 | Mar 2026 | Apr 2026 | May 2026 | Jun 2026 ‖ Jul 2026 | Aug 2026 | Sep 2026 | Oct 2026 | Nov 2026 | Dec 2026 | Avg 2026 |
| Villa Clifton Bay              |     54.8 |     96.4 |     96.8 |     46.7 |     45.2 |     50.0 |      0.0 |      3.2 |      0.0 |     19.4 |     76.7 |      3.2 |      0.0 |    100.0 |     90.3 |     63.3 |     64.5 |     43.3 ‖     32.3 |     32.3 |      0.0 |     32.3 |     23.3 |     19.4 |     41.7 |
| Villa Coral Cay                |     67.7 |     96.4 |    100.0 |     73.3 |     48.4 |     70.0 |     45.2 |     41.9 |      0.0 |    100.0 |     90.0 |     51.6 |     93.5 |     96.4 |     96.8 |    100.0 |    100.0 |     90.0 ‖     38.7 |     19.4 |      0.0 |     61.3 |     96.7 |      9.7 |     66.9 |
| Villa Francis                  |      0.0 |      0.0 |      0.0 |     43.3 |      3.2 |      0.0 |     22.6 |     41.9 |     23.3 |     16.1 |     63.3 |     19.4 |    100.0 |    100.0 |     96.8 |     83.3 |     58.1 |     43.3 ‖     41.9 |     58.1 |      0.0 |     48.4 |     43.3 |     19.4 |     57.7 |
| Villa Genesis                  |    100.0 |     82.1 |    100.0 |     70.0 |     74.2 |      0.0 |     96.8 |     29.0 |      0.0 |     71.0 |     83.3 |     80.6 |     90.3 |     85.7 |    100.0 |     46.7 |     87.1 |     56.7 ‖      0.0 |      0.0 |      0.0 |     64.5 |     70.0 |     35.5 |     53.0 |
| Villa Henderson                |     87.1 |    100.0 |     93.5 |     70.0 |    100.0 |     56.7 |     38.7 |      9.7 |     43.3 |     48.4 |     76.7 |     38.7 |     74.2 |    100.0 |     87.1 |     53.3 |     67.7 |     63.3 ‖    100.0 |     12.9 |     10.0 |     16.1 |     80.0 |     38.7 |     58.6 |
| Villa Hummingbird              |     87.1 |    100.0 |     96.8 |    100.0 |     51.6 |     63.3 |     32.3 |     80.6 |     33.3 |     48.4 |     66.7 |     38.7 |     35.5 |    100.0 |    100.0 |     53.3 |     67.7 |     16.7 ‖     29.0 |     35.5 |     23.3 |     45.2 |     60.0 |     32.3 |     49.9 |
| Villa Infinity                 |     51.6 |     82.1 |     90.3 |     43.3 |      0.0 |      0.0 |     90.3 |    100.0 |     83.3 |      0.0 |      0.0 |     38.7 |     16.1 |     96.4 |     67.7 |     33.3 |      0.0 |      0.0 ‖      0.0 |     54.8 |     33.3 |      0.0 |     23.3 |      3.2 |     27.4 |
| Villa Just Heaven              |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |     29.0 |      0.0 |      0.0 |     23.3 |     45.2 |     22.6 |     96.4 |    100.0 |     56.7 |      0.0 |      0.0 ‖      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |     23.0 |
| Villa Liberty                  |     83.9 |    100.0 |     96.8 |     90.0 |     61.3 |      0.0 |      6.5 |     19.4 |      0.0 |     35.5 |     33.3 |    100.0 |      0.0 |    100.0 |    100.0 |     73.3 |     35.5 |      0.0 ‖      0.0 |      0.0 |      0.0 |     41.9 |     53.3 |    100.0 |     42.0 |
| Villa Lifetime                 |     67.7 |    100.0 |    100.0 |     86.7 |     90.3 |     93.3 |    100.0 |     48.4 |     43.3 |     51.6 |     56.7 |     74.2 |     80.6 |    100.0 |     96.8 |     60.0 |     96.8 |     70.0 ‖     87.1 |     51.6 |     50.0 |     93.5 |     23.3 |     25.8 |     69.6 |
| Villa Living Coral             |    100.0 |    100.0 |    100.0 |     86.7 |     83.9 |     46.7 |     48.4 |     71.0 |      0.0 |     48.4 |      0.0 |     38.7 |     25.8 |    100.0 |    100.0 |     26.7 |     71.0 |     16.7 ‖      0.0 |     74.2 |      0.0 |      0.0 |      0.0 |     25.8 |     36.7 |
