********************************
Villa availability
********************************
1: Scrape webpages and store data
2: Load data and visualize it
3: Compare this year with the last
********************************
Your choice: 3
--- Compare nmb year over year ---
--- Jan-Jun 2025 vs Jan-Jun 2026 (percentage points) ---
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- +
| Villa                          |      Jan |      Feb |      Mar |      Apr |      May |      Jun |     2025 |     2026 |    Delta |
| Villa Pura Vida                |    +41.9 |     +0.0 |     +0.0 |    -20.0 |    -25.8 |    +33.3 |     63.9 |     68.8 |     +4.9 |
| Villa River Pearl - direct riv |    +25.8 |     +0.0 |     +0.0 |    -60.0 |    -32.3 |    +16.7 |     73.7 |     65.4 |     -8.3 |
| Villa Royal Residence          |     +0.0 |     +0.0 |     +3.2 |    -16.7 |     -3.2 |     +0.0 |     63.8 |     61.0 |     -2.8 |
| Villa Ruby Sunset              |    -19.4 |     +0.0 |     +9.7 |    -20.0 |    -16.1 |     +3.3 |     68.3 |     61.2 |     -7.1 |
| Villa Sea Shell                |     +3.2 |     -7.1 |     +9.7 |    +50.0 |    +54.8 |    -53.3 |     63.9 |     73.4 |     +9.5 |
| Villa Secret Pearl             |     +0.0 |     +0.0 |     +0.0 |    -33.3 |     -3.2 |    -36.7 |     91.1 |     78.9 |    -12.2 |
| Villa Skyshine                 |    -51.6 |    -50.0 |    -16.1 |    -30.0 |    +22.6 |     -6.7 |     69.6 |     47.6 |    -22.0 |
| Villa Sola                     |     +0.0 |    +32.1 |    +61.3 |    +16.7 |    +45.2 |     +0.0 |     50.1 |     75.9 |    +25.9 |
| Villa Sunbreeze                |   +100.0 |   +100.0 |   +100.0 |    +86.7 |    +71.0 |    -20.0 |      8.9 |     81.8 |    +72.9 |
| Villa Sunshine                 |   +100.0 |   +100.0 |    +93.5 |    +16.7 |     -9.7 |    -40.0 |     41.1 |     84.6 |    +43.4 |
| Villa Tranquil Sands           |    -12.9 |     -3.6 |     +3.2 |    -20.0 |     -9.7 |    -33.3 |     87.9 |     75.2 |    -12.7 |
| Villa Whispering Palms         |     +0.0 |     +0.0 |     +9.7 |    +30.0 |     -9.7 |     +3.3 |     81.3 |     86.8 |     +5.6 |
| Villa White Shell              |    -32.3 |    -21.4 |     -3.2 |     -6.7 |    -22.6 |     +0.0 |     76.9 |     62.5 |    -14.4 |
| Villa Winking Owl              |     +9.7 |    +39.3 |    +12.9 |    +26.7 |    +35.5 |    +90.0 |     60.0 |     95.6 |    +35.7 |
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- +
| ALL VILLAS (n=53)              |     -3.7 |    +19.5 |    +16.3 |     +1.7 |     +5.4 |     +5.2 |     59.4 |     66.7 |     +7.4 |
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- +
Month columns are 2026 minus 2025, in percentage points; + means busier than last year
'-' means one of the two years has no data for that month
--- Compare intervillas year over year ---
--- Jan-Jun 2025 vs Jan-Jun 2026 (percentage points) ---
